Skill,Freq,Trend_Slope,Recency_Weight,Upcoming_Flag,Is_Taught_MSRIT,Taught_Institute_Count,Institutional_Gap_Score,Company_Spread,Company_Spread_Norm,Velocity,Volatility,Semantic_Centrality,Semantic_Gap_Distance,NLP_Rarity_Score,Skill_Cluster,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Skill_Domain,Domain_AI/ML,Domain_Cloud,Domain_Data,Domain_DevOps,Domain_Other,Domain_Security,Domain_Systems/Infra,Domain_Web/Mobile,Demand_Score,Label_MSRIT,Recommendation_Prob_MSRIT,Trajectory,Skill_Keywords,Cluster_Theme,Industry_Threshold_Year,CLI,Watch_List,Watch_Urgency,Transition,In_Transition,Propagated_Gap_Score,Semantic_Neighbors,Top_Cooccurring,Priority_Score,NLP_Gap_Priority,Debt_Score
react,24,-3.3999999999999995,0.4479166666666667,0,0,2,0.6,10,1.0,-3.333333333333333,4.658325879540846,0.2805,0.7783,0.00431,4,False,False,False,False,True,False,False,False,Web/Mobile,False,False,False,False,False,False,False,True,5.1096,1,0.1856315095499415,Traditional,react,javascript / next.js / node.js / react,2022,3,0,0.0,,0,3.2547,"react query, typescript, javascript","typescript, javascript, sql",0.5961,0.5488,6.2002
react query,1,0.0,0.25,0,0,0,1.0,1,0.1,0.0,0.447213595499958,0.1509,0.9127,0.00746,4,False,False,False,False,True,False,False,False,Web/Mobile,False,False,False,False,False,False,False,True,0.32,0,0.0,Transitional,query,javascript / next.js / node.js / react,2022,3,0,0.0,,0,0.2759,"react, typescript, node.js","jwt authentication, next.js, node.js",0.45,0.5866,9.0
redis caching,1,0.0,0.0,0,0,0,1.0,1,0.1,0.0,0.447213595499958,0.2607,0.7964,0.00747,0,True,False,False,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,0.27,0,0.0,Transitional,redis,cloud / aws / architecture / multi,2021,4,0,0.0,,0,0.2002,"web performance optimization, distributed systems, load balancing","java, microservices, rest apis",0.525,0.5809,12.0
rest apis,12,-0.2285714285714287,0.3958333333333333,0,0,1,0.8,9,0.9,0.0,2.4083189157584592,0.3951,0.6348,0.00746,3,False,False,False,True,False,False,False,False,Other,False,False,False,False,True,False,False,False,3.2135,1,0.6005906678193534,Transitional,"rest, apis",api / apis / gateway / rate,2022,3,0,0.0,Traditional -> Transitional,1,0.5053,"llm apis, api gateway, api rate limiting","microservices, golang, node.js",0.7312,0.6336,8.1
retrieval augmented generation (rag),1,0.0,1.0,1,0,0,1.0,1,0.1,0.0,0.447213595499958,0.253,0.783,0.0114,1,False,True,False,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,0.47,0,0.0,Upcoming,"retrieval, augmented, generation, rag",data / learning / feature / auto,2025,0,0,0.0,,0,0.0,"generative ai, siem tools, feature stores","deep learning, llm fine-tuning, model drift detection",0.225,0.4782,0.0
scikit-learn,6,0.0,0.0,0,0,0,1.0,6,0.6,0.0,2.683281572999748,0.3999,0.6208,0.00747,1,False,True,False,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,1.62,0,0.0648732335079646,Transitional,scikit,data / learning / feature / auto,2021,4,0,0.0,,0,0.0,"python, tensorflow, machine learning","python, model deployment",0.6494,0.5786,12.0
security auditing,1,0.0,0.25,0,0,0,1.0,1,0.1,0.0,0.447213595499958,0.3453,0.7128,0.00746,2,False,False,True,False,False,False,False,False,Security,False,False,False,False,False,True,False,False,0.32,0,0.0035294117647058,Traditional,"security, auditing",disaster / recovery / planning / event,2022,3,0,0.0,,0,0.0026,"lighthouse audits, cloud security, vulnerability scanning","siem tools, vulnerability scanning",0.4507,0.4994,9.0
server components,1,0.0,0.75,1,0,0,1.0,1,0.1,0.0,0.447213595499958,0.458,0.5784,0.00747,0,True,False,False,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,0.42,0,0.0,Upcoming,"server, components",cloud / aws / architecture / multi,2024,1,0,0.0,,0,0.3848,"cloud architecture, system design, microservices","lighthouse audits, next.js, react",0.3,0.3503,3.0
service mesh (istio),1,0.0,0.75,1,0,0,1.0,1,0.1,0.0,0.447213595499958,0.3091,0.7331,0.00964,3,False,False,False,True,False,False,False,False,Other,False,False,False,False,True,False,False,False,0.42,0,0.0,Upcoming,"service, mesh, istio",api / apis / gateway / rate,2024,1,0,0.0,,0,0.0,"microservices, api gateway, model deployment","gitops, helm charts",0.3,0.464,3.0
shap,1,0.0,0.5,1,0,0,1.0,1,0.1,0.0,0.447213595499958,0.3947,0.6034,0.00431,1,False,True,False,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,0.37,0,0.0,Upcoming,shap,data / learning / feature / auto,2023,2,0,0.0,,0,0.1707,"mlops, python, machine learning","feature engineering, hyperparameter tuning, tensorflow",0.375,0.3394,6.0
shell scripting,3,0.0,0.0,0,0,0,1.0,3,0.3,0.0,1.3416407864998738,0.3719,0.6463,0.00747,2,False,False,True,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,0.81,0,0.0,Transitional,"shell, scripting",disaster / recovery / planning / event,2021,4,0,0.0,,0,0.5706,"python, background job processing, javascript","linux, ci/cd",0.5694,0.5417,12.0
siem tools,1,0.0,0.25,1,0,0,1.0,1,0.1,0.0,0.447213595499958,0.4491,0.6059,0.00747,2,False,False,True,False,False,False,False,False,Security,False,False,False,False,False,True,False,False,0.32,0,0.0044078947368421,Upcoming,"siem, tools",disaster / recovery / planning / event,2022,3,0,0.0,,0,0.0024,"llm apis, llm fine-tuning, model monitoring","security auditing, vulnerability scanning",0.4509,0.4529,9.0
spring boot,6,0.0,0.0,0,0,0,1.0,6,0.6,0.0,2.683281572999748,0.3122,0.6912,0.00747,6,False,False,False,False,False,False,True,False,Other,False,False,False,False,True,False,False,False,1.62,0,0.054263488827703,Transitional,"spring, boot",deployment / model / blue / green,2021,4,0,0.0,,0,0.1839,"linux, java, aws","sql, java, microservices",0.6473,0.6082,12.0
sql,42,-2.0,0.119047619047619,0,1,5,0.0,10,1.0,-2.0,11.523888232710346,0.4561,0.5041,0.00431,5,False,False,False,False,False,True,False,False,Data,False,False,True,False,False,False,False,False,10.0238,0,0.253408757080152,Transitional,sql,sql / advanced / optimization / window,2021,0,0,0.0,,0,3.7016,"advanced sql, sql optimization, sql window functions","java, power bi, python",0.3458,0.2784,0.0
sql optimization,1,0.0,0.0,0,0,3,0.4,1,0.1,0.0,0.447213595499958,0.421,0.585,0.00744,5,False,False,False,False,False,True,False,False,Data,False,False,True,False,False,False,False,False,0.27,0,0.0124089821950571,Traditional,"sql, optimization",sql / advanced / optimization / window,2021,4,0,0.0,,0,0.1965,"sql, advanced sql, web performance optimization","java, microservices, redis caching",0.4676,0.4532,8.4
sql window functions,1,0.0,0.0,0,0,0,1.0,1,0.1,0.0,0.447213595499958,0.2109,0.769,0.00961,5,False,False,False,False,False,True,False,False,Data,False,False,True,False,False,False,False,False,0.27,0,0.0,Traditional,"sql, window, functions",sql / advanced / optimization / window,2021,4,0,0.0,,0,0.0185,"sql, advanced sql, sql optimization","data visualization, excel, kpi tracking",0.525,0.6141,12.0
sre practices,1,0.0,1.0,1,0,0,1.0,1,0.1,0.0,0.447213595499958,0.3202,0.7282,0.00747,6,False,False,False,False,False,False,True,False,Other,False,False,False,False,True,False,False,False,0.47,0,0.0,Upcoming,"sre, practices",deployment / model / blue / green,2025,0,0,0.0,,0,0.0011,"server components, mlops, siem tools","blue-green deployment, canary deployment, cloud security",0.225,0.371,0.0
statistics,4,0.0,0.0,0,1,3,0.4,4,0.4,0.0,1.7888543819998322,0.4003,0.5443,0.00431,1,False,True,False,False,False,False,False,False,Data,False,False,True,False,False,False,False,False,1.08,0,0.0201700770661706,Transitional,statistics,data / learning / feature / auto,2021,0,0,0.0,,0,0.0,"excel, machine learning, sql","machine learning, python",0.2358,0.23,0.0
system design,19,0.2000000000000001,0.5263157894736842,0,0,4,0.2,9,0.9,0.25,2.16794833886788,0.5252,0.4998,0.00747,2,False,False,True,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,5.1128,1,0.2026453541420745,Traditional,"system, design",disaster / recovery / planning / event,2022,3,0,0.0,,0,0.0,"distributed systems, event-driven architecture, networking","java, microservices, distributed systems",0.5933,0.4919,5.4562
tableau,6,0.0,0.0,0,0,0,1.0,6,0.6,0.0,2.683281572999748,0.366,0.6493,0.00431,1,False,True,False,False,False,False,False,False,Data,False,False,True,False,False,False,False,False,1.62,0,0.0617567719207567,Transitional,tableau,data / learning / feature / auto,2021,4,0,0.0,,0,0.0,"sql, power bi, advanced sql","sql, excel, data visualization",0.6488,0.5238,12.0
tensorflow,22,7.999999999999998,0.4204545454545454,0,0,0,1.0,10,1.0,8.0,6.655824516917495,0.4666,0.5627,0.00431,1,False,True,False,False,False,False,False,False,AI/ML,True,False,False,False,False,False,False,False,8.5841,1,0.5631091869899741,Transitional,tensorflow,data / learning / feature / auto,2023,2,0,0.0,,0,0.0018,"deep learning, python, machine learning","deep learning, feature engineering, model deployment",0.8157,0.586,8.0
terraform,17,-0.2999999999999998,0.6029411764705882,1,0,0,1.0,9,0.9,-0.3333333333333333,2.6076809620810595,0.4734,0.5597,0.00431,0,True,False,False,False,False,False,False,False,Cloud,False,True,False,False,False,False,False,False,4.4406,1,0.6746453611201239,Traditional,terraform,cloud / aws / architecture / multi,2023,2,0,0.0,,0,1.6658,"aws, multi-cloud, azure","kubernetes, aws, cloud security",0.6862,0.507,5.9168
threat intelligence,1,0.0,1.0,0,0,0,1.0,1,0.1,0.0,0.447213595499958,0.4262,0.5963,0.00747,1,False,True,False,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,0.47,0,0.0,Transitional,"threat, intelligence",data / learning / feature / auto,2025,0,0,0.0,,0,0.0,"cloud security, generative ai, vulnerability scanning","cloud security, zero trust architecture",0.225,0.3132,0.0
time series forecasting,1,0.0,0.5,0,0,0,1.0,1,0.1,0.0,0.447213595499958,0.3393,0.7034,0.00964,1,False,True,False,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,0.37,0,0.002410071942446,Transitional,"time, series",data / learning / feature / auto,2023,2,0,0.0,,0,0.17,"machine learning, tensorflow, model monitoring","deep learning, feature engineering, hyperparameter tuning",0.3755,0.4963,6.0
typescript,9,-0.9999999999999998,0.6111111111111112,0,0,0,1.0,7,0.7,-1.0,2.489979919597747,0.2281,0.8186,0.00431,4,False,False,False,False,True,False,False,False,Web/Mobile,False,False,False,False,False,False,False,True,2.1622,1,0.6793331727204796,Transitional,typescript,javascript / next.js / node.js / react,2023,2,0,0.0,,0,0.996,"react, javascript, node.js","react, javascript, next.js",0.6323,0.5881,5.75
vector embeddings,1,0.0,0.75,1,0,0,1.0,1,0.1,0.0,0.447213595499958,0.2662,0.7479,0.00747,1,False,True,False,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,0.42,0,0.0,Upcoming,"vector, embeddings",data / learning / feature / auto,2024,1,0,0.0,,0,0.0,"deep learning, tensorflow, generative ai","generative ai, llm, llm apis",0.3,0.4246,3.0
vpc configuration,1,0.0,0.0,0,0,0,1.0,1,0.1,0.0,0.447213595499958,0.23,0.8384,0.00747,7,False,False,False,False,False,False,False,True,Other,False,False,False,False,True,False,False,False,0.27,0,0.0,Transitional,"vpc, configuration",ci / cd / pipelines / circuit,2021,4,0,0.0,,0,0.3155,"aws ec2, cloud security, server components","load balancing, networking, aws",0.525,0.5993,12.0
vulnerability scanning,1,0.0,0.25,0,0,0,1.0,1,0.1,0.0,0.447213595499958,0.4219,0.6307,0.00747,2,False,False,True,False,False,False,False,False,Security,False,False,False,False,False,True,False,False,0.32,0,0.0044078947368421,Transitional,"vulnerability, scanning",disaster / recovery / planning / event,2022,3,0,0.0,,0,0.0024,"security auditing, cloud security, prompt engineering","security auditing, siem tools",0.4509,0.4638,9.0
web performance optimization,1,0.0,0.75,0,0,0,1.0,1,0.1,0.0,0.447213595499958,0.4768,0.5821,0.00962,1,False,True,False,False,False,False,False,False,Other,False,False,False,False,True,False,False,False,0.42,0,0.0035294117647058,Transitional,"web, performance, optimization",data / learning / feature / auto,2024,1,0,0.0,,0,0.3837,"sql optimization, cloud cost optimization, load balancing","lighthouse audits, next.js, react",0.3007,0.3979,3.0
zero trust architecture,1,0.0,1.0,1,0,1,0.8,1,0.1,0.0,0.447213595499958,0.4145,0.6449,0.00962,0,True,False,False,False,False,False,False,False,Security,False,False,False,False,False,True,False,False,0.47,0,0.0,Upcoming,"trust, architecture",cloud / aws / architecture / multi,2025,0,0,0.0,,0,0.0,"distributed systems, cloud security, cloud architecture","cloud security, threat intelligence",0.205,0.368,0.0
